"","event_name","creation_date","duration","rsvp","venue_name","venue_rating","rating_count","venue.city","address_1","lat","long","group_name","group_rating","category_name"
"13","Sketch the 2nd Avenue Subway!",2017-01-14,3,73,"86th st and 2nd avenue",0,0,"New York City","86th st and 2nd avenue",40.777889,-73.95179,"Central Park Sketching & Art Meetup Group","4.77","Arts & Culture"
"14","A Confederacy of Dunces by John Kennedy Toole",2017-01-16,3,20,"Galway Arms",4.42,83,"Chicago","2442 N Clark Street",41.926679,-87.641359,"Read the Classics - The 1001 Books Challenge","4.79","Book Clubs"
"15","The Underground Railroad by Colson Whitehead",2017-01-16,3,16,"Galway Arms",4.42,83,"Chicago","2442 N Clark Street",41.926679,-87.641359,"Read the Classics - The 1001 Books Challenge","4.79","Book Clubs"
"16","Buying a Small Company Meetup",2017-03-08,3,20,"The Long Hall",5,4,"New York City","58 E 34th St, New York, NY 10016",40.747162,-73.982277,"Entrepreneurial Acquisition: Funded, Unfunded & Search Funds","5.00","Career & Business"
"17","Read: The Foundation Pit by Adrei Platonov",2017-05-13,3,20,"Uncle Vanya",4.29,17,"New York City","315 W 54th St",40.765285,-73.985199,"NYC Russian Novels Book Club","4.83","Book Clubs"
"18","Read: The Big Green Tent by Lyudmila Ulitskaya",2017-05-13,3,20,"Uncle Vanya",4.29,17,"New York City","315 W 54th St",40.765285,-73.985199,"NYC Russian Novels Book Club","4.83","Book Clubs"
"19","Read Haji Murad and After the Ball by Tolstoy",2017-05-15,3,20,"Uncle Vanya",4.29,17,"New York City","315 W 54th St",40.765285,-73.985199,"NYC Russian Novels Book Club","4.83","Book Clubs"
"20","The Amazing Adventures of Kavalier & Clay (Michael Chabon)",2017-06-03,3,50,"Ukrainian East Village Restaurant",4.3,189,"New York City","140 2nd Ave",40.72884,-73.98703,"Bucket List Book Club:  Read what you've put off!","4.77","Book Clubs"
"21","The Brief Wondrous Life of Oscar Wao (Juno Diaz)",2017-06-03,3,41,"Ukrainian East Village Restaurant",4.3,189,"New York City","140 2nd Ave",40.72884,-73.98703,"Bucket List Book Club:  Read what you've put off!","4.77","Book Clubs"
"22","October Meetup: Between the World and Me Ta-Nehisi Coates",2017-06-05,3,20,"Heartland Cafe",3.8,275,"Chicago","7000 North Glenwood",42.009998,-87.669998,"The Far Northside Co-Ed Book Club","4.66","Book Clubs"
"23","Figure Studies: Sculpting the Dynamic Figure",2017-06-09,4,3,"City College of San Francisco - Fort Mason Center",0,0,"San Francisco","2 Marina Boulevard",37.806816,-122.431839,"Live Figure Sculpting from Models in Clay","0.00","Arts & Culture"
"24","THE ART OF ACTIVE NETWORKING, SAN FRANCISCO Nov 6th, 2017",2017-06-13,3,47,"The Box SF",4.69,212,"San Francisco","1069 Howard Street",37.778309,-122.408524,"The Art of Active Networking -San Francisco","4.83","Career & Business"
"25","THE ART OF ACTIVE NETWORKING, SAN FRANCISCO Dec 4th, 2017",2017-06-13,3,29,"The Box SF",4.69,212,"San Francisco","1069 Howard Street",37.778309,-122.408524,"The Art of Active Networking -San Francisco","4.83","Career & Business"
"26","THE ART OF ACTIVE NETWORKING, NEW YORK CITY Nov 8th, 2017",2017-06-14,3,35,"Ripley Grier Studios",4,8,"New York City","520 8th Avenue (Btwn 36th & 37th street) 16th floor, by the Cafe, Manhattan, NY",40.783062,-73.971252,"The Art of Active Networking -New York","4.83","Career & Business"
"27","The Plague - Albert Camus",2017-06-20,3,10,"Cafe La Boheme",4.37,46,"San Francisco","3318 24th Street",37.752293,-122.418953,"1001 Books You Must Read Before You Die - San Francisco","4.46","Book Clubs"
"28","Thousand Cranes - Yasunari Kawabata",2017-06-20,3,5,"Cafe La Boheme",4.37,46,"San Francisco","3318 24th Street",37.752293,-122.418953,"1001 Books You Must Read Before You Die - San Francisco","4.46","Book Clubs"
"29","The Founding Moms' Exchange: Chicago",2017-06-30,3,2,"Free Range Office",4.76,25,"Chicago","2141 W. North Ave., 2nd Flr",41.910385,-87.681648,"The Founding Moms' Exchange: Chicago/Oak Park!","4.86","Career & Business"
"30","The Founding Moms' Exchange: Chicago",2017-06-30,3,1,"Free Range Office",4.76,25,"Chicago","2141 W. North Ave., 2nd Flr",41.910385,-87.681648,"The Founding Moms' Exchange: Chicago/Oak Park!","4.86","Career & Business"
