"","event_name","creation_date","duration","rsvp","venue_name","venue_rating","rating_count","venue.city","address_1","lat","long","group_name","group_rating","category_name"
"1431","Drinks and Dancing at Soundbar Every Friday Night",2012-12-30,3,1,"Sound-Bar",3.93,73,"Chicago","226 W Ontario St",41.893166,-87.63479,"Chicago Meetup","4.61","Arts & Culture"
"1432","Drinks and Dancing at Soundbar Every Friday Night",2012-12-30,3,1,"Sound-Bar",3.93,73,"Chicago","226 W Ontario St",41.893166,-87.63479,"Chicago Meetup","4.61","Arts & Culture"
"1433","Drinks and Dancing at Soundbar Every Friday Night",2012-12-30,3,1,"Sound-Bar",3.93,73,"Chicago","226 W Ontario St",41.893166,-87.63479,"Chicago Meetup","4.61","Arts & Culture"
"1434","Drinks and Dancing at Soundbar Every Friday Night",2012-12-30,3,1,"Sound-Bar",3.93,73,"Chicago","226 W Ontario St",41.893166,-87.63479,"Chicago Meetup","4.61","Arts & Culture"
"1435","Drinks and Dancing at Soundbar Every Friday Night",2012-12-30,3,1,"Sound-Bar",3.93,73,"Chicago","226 W Ontario St",41.893166,-87.63479,"Chicago Meetup","4.61","Arts & Culture"
"1436","Drinks and Dancing at Soundbar Every Friday Night",2012-12-30,3,1,"Sound-Bar",3.93,73,"Chicago","226 W Ontario St",41.893166,-87.63479,"Chicago Meetup","4.61","Arts & Culture"
"1437","Drinks and Dancing at Soundbar Every Friday Night",2012-12-30,3,1,"Sound-Bar",3.93,73,"Chicago","226 W Ontario St",41.893166,-87.63479,"Chicago Meetup","4.61","Arts & Culture"
"1438","Drinks and Dancing at Soundbar Every Friday Night",2012-12-30,3,1,"Sound-Bar",3.93,73,"Chicago","226 W Ontario St",41.893166,-87.63479,"Chicago Meetup","4.61","Arts & Culture"
"1439","Drinks and Dancing at Soundbar Every Friday Night",2012-12-30,3,1,"Sound-Bar",3.93,73,"Chicago","226 W Ontario St",41.893166,-87.63479,"Chicago Meetup","4.61","Arts & Culture"
"1440","Drinks and Dancing at Soundbar Every Friday Night",2012-12-30,3,1,"Sound-Bar",3.93,73,"Chicago","226 W Ontario St",41.893166,-87.63479,"Chicago Meetup","4.61","Arts & Culture"
"1441","Drinks and Dancing at Soundbar Every Friday Night",2012-12-30,3,1,"Sound-Bar",3.93,73,"Chicago","226 W Ontario St",41.893166,-87.63479,"Chicago Meetup","4.61","Arts & Culture"
"1442","Drinks and Dancing at Soundbar Every Friday Night",2012-12-30,3,1,"Sound-Bar",3.93,73,"Chicago","226 W Ontario St",41.893166,-87.63479,"Chicago Meetup","4.61","Arts & Culture"
"1443","Drinks and Dancing at Soundbar Every Friday Night",2012-12-30,3,1,"Sound-Bar",3.93,73,"Chicago","226 W Ontario St",41.893166,-87.63479,"Chicago Meetup","4.61","Arts & Culture"
"1444","Drinks and Dancing at Soundbar Every Friday Night",2012-12-30,3,1,"Sound-Bar",3.93,73,"Chicago","226 W Ontario St",41.893166,-87.63479,"Chicago Meetup","4.61","Arts & Culture"
"1445","Drinks and Dancing at Soundbar Every Friday Night",2012-12-30,3,1,"Sound-Bar",3.93,73,"Chicago","226 W Ontario St",41.893166,-87.63479,"Chicago Meetup","4.61","Arts & Culture"
"1446","Drinks and Dancing at Soundbar Every Friday Night",2012-12-30,3,1,"Sound-Bar",3.93,73,"Chicago","226 W Ontario St",41.893166,-87.63479,"Chicago Meetup","4.61","Arts & Culture"
"1447","Drinks and Dancing at Soundbar Every Friday Night",2012-12-30,3,1,"Sound-Bar",3.93,73,"Chicago","226 W Ontario St",41.893166,-87.63479,"Chicago Meetup","4.61","Arts & Culture"
"1448","Drinks and Dancing at Soundbar Every Friday Night",2012-12-30,3,1,"Sound-Bar",3.93,73,"Chicago","226 W Ontario St",41.893166,-87.63479,"Chicago Meetup","4.61","Arts & Culture"
"1449","Drinks and Dancing at Soundbar Every Friday Night",2012-12-30,3,1,"Sound-Bar",3.93,73,"Chicago","226 W Ontario St",41.893166,-87.63479,"Chicago Meetup","4.61","Arts & Culture"
"1450","Drinks and Dancing at Soundbar Every Friday Night",2012-12-30,3,1,"Sound-Bar",3.93,73,"Chicago","226 W Ontario St",41.893166,-87.63479,"Chicago Meetup","4.61","Arts & Culture"
"1451","Drinks and Dancing at Soundbar Every Friday Night",2012-12-30,3,1,"Sound-Bar",3.93,73,"Chicago","226 W Ontario St",41.893166,-87.63479,"Chicago Meetup","4.61","Arts & Culture"
"1452","Drinks and Dancing at Soundbar Every Friday Night",2012-12-30,3,1,"Sound-Bar",3.93,73,"Chicago","226 W Ontario St",41.893166,-87.63479,"Chicago Meetup","4.61","Arts & Culture"
"1453","Drinks and Dancing at Soundbar Every Friday Night",2012-12-30,3,1,"Sound-Bar",3.93,73,"Chicago","226 W Ontario St",41.893166,-87.63479,"Chicago Meetup","4.61","Arts & Culture"
"1454","Next Steps Toastmasters",2016-04-11,1.5,1,"PNC Bank",0,0,"Chicago","1 N. Franklin St",41.882267,-87.635017,"Chicago Area District 30 Toastmasters","5.00","Career & Business"
"1455","Next Steps Toastmasters",2016-04-11,1.5,1,"PNC Bank",0,0,"Chicago","1 N. Franklin St",41.882267,-87.635017,"Chicago Area District 30 Toastmasters","5.00","Career & Business"
"1456","Next Steps Toastmasters",2016-04-11,1.5,1,"PNC Bank",0,0,"Chicago","1 N. Franklin St",41.882267,-87.635017,"Chicago Area District 30 Toastmasters","5.00","Career & Business"
"1457","Next Steps Toastmasters",2016-04-11,1.5,1,"PNC Bank",0,0,"Chicago","1 N. Franklin St",41.882267,-87.635017,"Chicago Area District 30 Toastmasters","5.00","Career & Business"
"1458","Next Steps Toastmasters",2016-04-11,1.5,1,"PNC Bank",0,0,"Chicago","1 N. Franklin St",41.882267,-87.635017,"Chicago Area District 30 Toastmasters","5.00","Career & Business"
"1459","Next Steps Toastmasters",2016-04-11,1.5,1,"PNC Bank",0,0,"Chicago","1 N. Franklin St",41.882267,-87.635017,"Chicago Area District 30 Toastmasters","5.00","Career & Business"
"1460","Next Steps Toastmasters",2016-04-11,1.5,1,"PNC Bank",0,0,"Chicago","1 N. Franklin St",41.882267,-87.635017,"Chicago Area District 30 Toastmasters","5.00","Career & Business"
"1461","Next Steps Toastmasters",2016-04-11,1.5,1,"PNC Bank",0,0,"Chicago","1 N. Franklin St",41.882267,-87.635017,"Chicago Area District 30 Toastmasters","5.00","Career & Business"
"1462","Next Steps Toastmasters",2016-04-11,1.5,1,"PNC Bank",0,0,"Chicago","1 N. Franklin St",41.882267,-87.635017,"Chicago Area District 30 Toastmasters","5.00","Career & Business"
"1463","Next Steps Toastmasters",2016-04-11,1.5,1,"PNC Bank",0,0,"Chicago","1 N. Franklin St",41.882267,-87.635017,"Chicago Area District 30 Toastmasters","5.00","Career & Business"
"1464","Next Steps Toastmasters",2016-04-11,1.5,1,"PNC Bank",0,0,"Chicago","1 N. Franklin St",41.882267,-87.635017,"Chicago Area District 30 Toastmasters","5.00","Career & Business"
"1465","Next Steps Toastmasters",2016-04-11,1.5,1,"PNC Bank",0,0,"Chicago","1 N. Franklin St",41.882267,-87.635017,"Chicago Area District 30 Toastmasters","5.00","Career & Business"
"1466","Life Drawing Workshops",2012-02-04,3,1,"Studio 302",4.67,36,"San Francisco","3435 Cesar Chavez",37.748024,-122.419815,"The San Francisco Figure Drawing Group","4.72","Arts & Culture"
"1467","Life Drawing Workshops",2012-02-04,3,1,"Studio 302",4.67,36,"San Francisco","3435 Cesar Chavez",37.748024,-122.419815,"The San Francisco Figure Drawing Group","4.72","Arts & Culture"
"1468","Life Drawing Workshops",2012-02-04,3,1,"Studio 302",4.67,36,"San Francisco","3435 Cesar Chavez",37.748024,-122.419815,"The San Francisco Figure Drawing Group","4.72","Arts & Culture"
"1469","Life Drawing Workshops",2012-02-04,3,1,"Studio 302",4.67,36,"San Francisco","3435 Cesar Chavez",37.748024,-122.419815,"The San Francisco Figure Drawing Group","4.72","Arts & Culture"
"1470","Life Drawing Workshops",2012-02-04,3,1,"Studio 302",4.67,36,"San Francisco","3435 Cesar Chavez",37.748024,-122.419815,"The San Francisco Figure Drawing Group","4.72","Arts & Culture"
"1471","Life Drawing Workshops",2012-02-04,3,1,"Studio 302",4.67,36,"San Francisco","3435 Cesar Chavez",37.748024,-122.419815,"The San Francisco Figure Drawing Group","4.72","Arts & Culture"
"1472","Life Drawing Workshops",2012-02-04,3,1,"Studio 302",4.67,36,"San Francisco","3435 Cesar Chavez",37.748024,-122.419815,"The San Francisco Figure Drawing Group","4.72","Arts & Culture"
"1473","Life Drawing Workshops",2012-02-04,3,1,"Studio 302",4.67,36,"San Francisco","3435 Cesar Chavez",37.748024,-122.419815,"The San Francisco Figure Drawing Group","4.72","Arts & Culture"
"1474","Life Drawing Workshops",2012-02-04,3,1,"Studio 302",4.67,36,"San Francisco","3435 Cesar Chavez",37.748024,-122.419815,"The San Francisco Figure Drawing Group","4.72","Arts & Culture"
"1475","Life Drawing Workshops",2012-02-04,3,1,"Studio 302",4.67,36,"San Francisco","3435 Cesar Chavez",37.748024,-122.419815,"The San Francisco Figure Drawing Group","4.72","Arts & Culture"
"1476","Life Drawing Workshops",2012-02-04,3,1,"Studio 302",4.67,36,"San Francisco","3435 Cesar Chavez",37.748024,-122.419815,"The San Francisco Figure Drawing Group","4.72","Arts & Culture"
"1477","Life Drawing Workshops",2012-02-04,3,1,"Studio 302",4.67,36,"San Francisco","3435 Cesar Chavez",37.748024,-122.419815,"The San Francisco Figure Drawing Group","4.72","Arts & Culture"
"1478","Life Drawing Workshops",2012-02-04,3,1,"Studio 302",4.67,36,"San Francisco","3435 Cesar Chavez",37.748024,-122.419815,"The San Francisco Figure Drawing Group","4.72","Arts & Culture"
"1479","Life Drawing Workshops",2012-02-04,3,1,"Studio 302",4.67,36,"San Francisco","3435 Cesar Chavez",37.748024,-122.419815,"The San Francisco Figure Drawing Group","4.72","Arts & Culture"
"1480","Life Drawing Workshops",2012-02-04,3,1,"Studio 302",4.67,36,"San Francisco","3435 Cesar Chavez",37.748024,-122.419815,"The San Francisco Figure Drawing Group","4.72","Arts & Culture"
"1481","Life Drawing Workshops",2012-02-04,3,1,"Studio 302",4.67,36,"San Francisco","3435 Cesar Chavez",37.748024,-122.419815,"The San Francisco Figure Drawing Group","4.72","Arts & Culture"
"1482","Life Drawing Workshops",2012-02-04,3,1,"Studio 302",4.67,36,"San Francisco","3435 Cesar Chavez",37.748024,-122.419815,"The San Francisco Figure Drawing Group","4.72","Arts & Culture"
"1483","Life Drawing Workshops",2012-02-04,3,1,"Studio 302",4.67,36,"San Francisco","3435 Cesar Chavez",37.748024,-122.419815,"The San Francisco Figure Drawing Group","4.72","Arts & Culture"
"1484","Life Drawing Workshops",2012-02-04,3,1,"Studio 302",4.67,36,"San Francisco","3435 Cesar Chavez",37.748024,-122.419815,"The San Francisco Figure Drawing Group","4.72","Arts & Culture"
"1485","Life Drawing Workshops",2012-02-04,3,1,"Studio 302",4.67,36,"San Francisco","3435 Cesar Chavez",37.748024,-122.419815,"The San Francisco Figure Drawing Group","4.72","Arts & Culture"
"1486","Life Drawing Workshops",2012-02-04,3,1,"Studio 302",4.67,36,"San Francisco","3435 Cesar Chavez",37.748024,-122.419815,"The San Francisco Figure Drawing Group","4.72","Arts & Culture"
"1487","Life Drawing Workshops",2012-02-04,3,1,"Studio 302",4.67,36,"San Francisco","3435 Cesar Chavez",37.748024,-122.419815,"The San Francisco Figure Drawing Group","4.72","Arts & Culture"
"1488","Life Drawing Workshops",2012-02-04,3,1,"Studio 302",4.67,36,"San Francisco","3435 Cesar Chavez",37.748024,-122.419815,"The San Francisco Figure Drawing Group","4.72","Arts & Culture"
"1489","Life Drawing Workshops",2012-02-04,3,1,"Studio 302",4.67,36,"San Francisco","3435 Cesar Chavez",37.748024,-122.419815,"The San Francisco Figure Drawing Group","4.72","Arts & Culture"
"1490","Life Drawing Workshops",2012-02-04,3,1,"Studio 302",4.67,36,"San Francisco","3435 Cesar Chavez",37.748024,-122.419815,"The San Francisco Figure Drawing Group","4.72","Arts & Culture"
"1491","Life Drawing Workshops",2012-02-04,3,1,"Studio 302",4.67,36,"San Francisco","3435 Cesar Chavez",37.748024,-122.419815,"The San Francisco Figure Drawing Group","4.72","Arts & Culture"
"1492","Life Drawing Workshops",2012-02-04,3,1,"Studio 302",4.67,36,"San Francisco","3435 Cesar Chavez",37.748024,-122.419815,"The San Francisco Figure Drawing Group","4.72","Arts & Culture"
"1493","Life Drawing Workshops",2012-02-04,3,1,"Studio 302",4.67,36,"San Francisco","3435 Cesar Chavez",37.748024,-122.419815,"The San Francisco Figure Drawing Group","4.72","Arts & Culture"
"1494","Life Drawing Workshops",2012-02-04,3,1,"Studio 302",4.67,36,"San Francisco","3435 Cesar Chavez",37.748024,-122.419815,"The San Francisco Figure Drawing Group","4.72","Arts & Culture"
"1495","Life Drawing Workshops",2012-02-04,3,1,"Studio 302",4.67,36,"San Francisco","3435 Cesar Chavez",37.748024,-122.419815,"The San Francisco Figure Drawing Group","4.72","Arts & Culture"
"1496","Life Drawing Workshops",2012-02-04,3,1,"Studio 302",4.67,36,"San Francisco","3435 Cesar Chavez",37.748024,-122.419815,"The San Francisco Figure Drawing Group","4.72","Arts & Culture"
"1497","Life Drawing Workshops",2012-02-04,3,1,"Studio 302",4.67,36,"San Francisco","3435 Cesar Chavez",37.748024,-122.419815,"The San Francisco Figure Drawing Group","4.72","Arts & Culture"
"1498","Life Drawing Workshops",2012-02-04,3,1,"Studio 302",4.67,36,"San Francisco","3435 Cesar Chavez",37.748024,-122.419815,"The San Francisco Figure Drawing Group","4.72","Arts & Culture"
"1499","Life Drawing Workshops",2012-02-04,3,1,"Studio 302",4.67,36,"San Francisco","3435 Cesar Chavez",37.748024,-122.419815,"The San Francisco Figure Drawing Group","4.72","Arts & Culture"
"1500","Life Drawing Workshops",2012-02-04,3,1,"Studio 302",4.67,36,"San Francisco","3435 Cesar Chavez",37.748024,-122.419815,"The San Francisco Figure Drawing Group","4.72","Arts & Culture"
"1501","Life Drawing Workshops",2012-02-04,3,1,"Studio 302",4.67,36,"San Francisco","3435 Cesar Chavez",37.748024,-122.419815,"The San Francisco Figure Drawing Group","4.72","Arts & Culture"
"1502","Life Drawing Workshops",2012-02-04,3,1,"Studio 302",4.67,36,"San Francisco","3435 Cesar Chavez",37.748024,-122.419815,"The San Francisco Figure Drawing Group","4.72","Arts & Culture"
"1503","Life Drawing Workshops",2012-02-04,3,1,"Studio 302",4.67,36,"San Francisco","3435 Cesar Chavez",37.748024,-122.419815,"The San Francisco Figure Drawing Group","4.72","Arts & Culture"
"1504","Life Drawing Workshops",2012-02-04,3,1,"Studio 302",4.67,36,"San Francisco","3435 Cesar Chavez",37.748024,-122.419815,"The San Francisco Figure Drawing Group","4.72","Arts & Culture"
"1505","Life Drawing Workshops",2012-02-04,3,1,"Studio 302",4.67,36,"San Francisco","3435 Cesar Chavez",37.748024,-122.419815,"The San Francisco Figure Drawing Group","4.72","Arts & Culture"
"1506","Life Drawing Workshops",2012-02-04,3,1,"Studio 302",4.67,36,"San Francisco","3435 Cesar Chavez",37.748024,-122.419815,"The San Francisco Figure Drawing Group","4.72","Arts & Culture"
"1507","Life Drawing Workshops",2012-02-04,3,1,"Studio 302",4.67,36,"San Francisco","3435 Cesar Chavez",37.748024,-122.419815,"The San Francisco Figure Drawing Group","4.72","Arts & Culture"
"1508","Life Drawing Workshops",2012-02-04,3,1,"Studio 302",4.67,36,"San Francisco","3435 Cesar Chavez",37.748024,-122.419815,"The San Francisco Figure Drawing Group","4.72","Arts & Culture"
"1509","Life Drawing Workshops",2012-02-04,3,1,"Studio 302",4.67,36,"San Francisco","3435 Cesar Chavez",37.748024,-122.419815,"The San Francisco Figure Drawing Group","4.72","Arts & Culture"
"1510","Life Drawing Workshops",2012-02-04,3,1,"Studio 302",4.67,36,"San Francisco","3435 Cesar Chavez",37.748024,-122.419815,"The San Francisco Figure Drawing Group","4.72","Arts & Culture"
"1511","Life Drawing Workshops",2012-02-04,3,1,"Studio 302",4.67,36,"San Francisco","3435 Cesar Chavez",37.748024,-122.419815,"The San Francisco Figure Drawing Group","4.72","Arts & Culture"
"1512","Life Drawing Workshops",2012-02-04,3,1,"Studio 302",4.67,36,"San Francisco","3435 Cesar Chavez",37.748024,-122.419815,"The San Francisco Figure Drawing Group","4.72","Arts & Culture"
"1513","Life Drawing Workshops",2012-02-04,3,1,"Studio 302",4.67,36,"San Francisco","3435 Cesar Chavez",37.748024,-122.419815,"The San Francisco Figure Drawing Group","4.72","Arts & Culture"
"1514","Life Drawing Workshops",2012-02-04,3,1,"Studio 302",4.67,36,"San Francisco","3435 Cesar Chavez",37.748024,-122.419815,"The San Francisco Figure Drawing Group","4.72","Arts & Culture"
"1515","Life Drawing Workshops",2012-02-04,3,1,"Studio 302",4.67,36,"San Francisco","3435 Cesar Chavez",37.748024,-122.419815,"The San Francisco Figure Drawing Group","4.72","Arts & Culture"
"1516","WEBINAR: Thursday Internet Marketing - Latest Trends /Case Studies",2014-06-02,3,2,"WEBINAR",3.8,10,"San Francisco","ON YOUR COMPUTER",37.774929,-122.419418,"SF Startup: Idea to IPO","4.54","Career & Business"
"1517","WEBINAR: Thursday Internet Marketing - Latest Trends /Case Studies",2014-06-02,3,1,"WEBINAR",3.8,10,"San Francisco","ON YOUR COMPUTER",37.774929,-122.419418,"SF Startup: Idea to IPO","4.54","Career & Business"
"1518","WEBINAR: Thursday Internet Marketing - Latest Trends /Case Studies",2014-06-02,3,1,"WEBINAR",3.8,10,"San Francisco","ON YOUR COMPUTER",37.774929,-122.419418,"SF Startup: Idea to IPO","4.54","Career & Business"
"1519","WEBINAR: Thursday Internet Marketing - Latest Trends /Case Studies",2014-06-02,3,1,"WEBINAR",3.8,10,"San Francisco","ON YOUR COMPUTER",37.774929,-122.419418,"SF Startup: Idea to IPO","4.54","Career & Business"
"1520","WEBINAR: Thursday Internet Marketing - Latest Trends /Case Studies",2014-06-02,3,1,"WEBINAR",3.8,10,"San Francisco","ON YOUR COMPUTER",37.774929,-122.419418,"SF Startup: Idea to IPO","4.54","Career & Business"
"1521","WEBINAR: Thursday Internet Marketing - Latest Trends /Case Studies",2014-06-02,3,1,"WEBINAR",3.8,10,"San Francisco","ON YOUR COMPUTER",37.774929,-122.419418,"SF Startup: Idea to IPO","4.54","Career & Business"
"1522","WEBINAR: Thursday Internet Marketing - Latest Trends /Case Studies",2014-06-02,3,1,"WEBINAR",3.8,10,"San Francisco","ON YOUR COMPUTER",37.774929,-122.419418,"SF Startup: Idea to IPO","4.54","Career & Business"
"1523","WEBINAR: Thursday Internet Marketing - Latest Trends /Case Studies",2014-06-02,3,1,"WEBINAR",3.8,10,"San Francisco","ON YOUR COMPUTER",37.774929,-122.419418,"SF Startup: Idea to IPO","4.54","Career & Business"
"1524","WEBINAR: Thursday Internet Marketing - Latest Trends /Case Studies",2014-06-02,3,1,"WEBINAR",3.8,10,"San Francisco","ON YOUR COMPUTER",37.774929,-122.419418,"SF Startup: Idea to IPO","4.54","Career & Business"
"1525","WEBINAR: Thursday Internet Marketing - Latest Trends /Case Studies",2014-06-02,3,1,"WEBINAR",3.8,10,"San Francisco","ON YOUR COMPUTER",37.774929,-122.419418,"SF Startup: Idea to IPO","4.54","Career & Business"
"1526","WEBINAR: Thursday Internet Marketing - Latest Trends /Case Studies",2014-06-02,3,1,"WEBINAR",3.8,10,"San Francisco","ON YOUR COMPUTER",37.774929,-122.419418,"SF Startup: Idea to IPO","4.54","Career & Business"
"1527","WEBINAR: Thursday Internet Marketing - Latest Trends /Case Studies",2014-06-02,3,1,"WEBINAR",3.8,10,"San Francisco","ON YOUR COMPUTER",37.774929,-122.419418,"SF Startup: Idea to IPO","4.54","Career & Business"
"1528","WEBINAR: Thursday Internet Marketing - Latest Trends /Case Studies",2014-06-02,3,1,"WEBINAR",3.8,10,"San Francisco","ON YOUR COMPUTER",37.774929,-122.419418,"SF Startup: Idea to IPO","4.54","Career & Business"
"1529","WEBINAR: Thursday Internet Marketing - Latest Trends /Case Studies",2014-06-02,3,1,"WEBINAR",3.8,10,"San Francisco","ON YOUR COMPUTER",37.774929,-122.419418,"SF Startup: Idea to IPO","4.54","Career & Business"
"1530","WEBINAR: Thursday Internet Marketing - Latest Trends /Case Studies",2014-06-02,3,1,"WEBINAR",3.8,10,"San Francisco","ON YOUR COMPUTER",37.774929,-122.419418,"SF Startup: Idea to IPO","4.54","Career & Business"
"1531","WEBINAR: Thursday Internet Marketing - Latest Trends /Case Studies",2014-06-02,3,1,"WEBINAR",3.8,10,"San Francisco","ON YOUR COMPUTER",37.774929,-122.419418,"SF Startup: Idea to IPO","4.54","Career & Business"
"1532","WEBINAR: Thursday Internet Marketing - Latest Trends /Case Studies",2014-06-02,3,1,"WEBINAR",3.8,10,"San Francisco","ON YOUR COMPUTER",37.774929,-122.419418,"SF Startup: Idea to IPO","4.54","Career & Business"
"1533","WEBINAR: Thursday Internet Marketing - Latest Trends /Case Studies",2014-06-02,3,1,"WEBINAR",3.8,10,"San Francisco","ON YOUR COMPUTER",37.774929,-122.419418,"SF Startup: Idea to IPO","4.54","Career & Business"
"1534","WEBINAR: Thursday Internet Marketing - Latest Trends /Case Studies",2014-06-02,3,1,"WEBINAR",3.8,10,"San Francisco","ON YOUR COMPUTER",37.774929,-122.419418,"SF Startup: Idea to IPO","4.54","Career & Business"
"1535","WEBINAR: Thursday Internet Marketing - Latest Trends /Case Studies",2014-06-02,3,1,"WEBINAR",3.8,10,"San Francisco","ON YOUR COMPUTER",37.774929,-122.419418,"SF Startup: Idea to IPO","4.54","Career & Business"
"1536","WEBINAR: Thursday Internet Marketing - Latest Trends /Case Studies",2014-06-02,3,1,"WEBINAR",3.8,10,"San Francisco","ON YOUR COMPUTER",37.774929,-122.419418,"SF Startup: Idea to IPO","4.54","Career & Business"
"1537","WEBINAR: Thursday Internet Marketing - Latest Trends /Case Studies",2014-06-02,3,1,"WEBINAR",3.8,10,"San Francisco","ON YOUR COMPUTER",37.774929,-122.419418,"SF Startup: Idea to IPO","4.54","Career & Business"
"1538","WEBINAR: Thursday Internet Marketing - Latest Trends /Case Studies",2014-06-02,3,1,"WEBINAR",3.8,10,"San Francisco","ON YOUR COMPUTER",37.774929,-122.419418,"SF Startup: Idea to IPO","4.54","Career & Business"
"1539","WEBINAR: Thursday Internet Marketing - Latest Trends /Case Studies",2014-06-02,3,1,"WEBINAR",3.8,10,"San Francisco","ON YOUR COMPUTER",37.774929,-122.419418,"SF Startup: Idea to IPO","4.54","Career & Business"
"1540","WEBINAR: Thursday Internet Marketing - Latest Trends /Case Studies",2014-06-02,3,1,"WEBINAR",3.8,10,"San Francisco","ON YOUR COMPUTER",37.774929,-122.419418,"SF Startup: Idea to IPO","4.54","Career & Business"
"1541","WEBINAR: Thursday Internet Marketing - Latest Trends /Case Studies",2014-06-02,3,1,"WEBINAR",3.8,10,"San Francisco","ON YOUR COMPUTER",37.774929,-122.419418,"SF Startup: Idea to IPO","4.54","Career & Business"
"1542","WEBINAR: Thursday Internet Marketing - Latest Trends /Case Studies",2014-06-02,3,1,"WEBINAR",3.8,10,"San Francisco","ON YOUR COMPUTER",37.774929,-122.419418,"SF Startup: Idea to IPO","4.54","Career & Business"
"1543","WEBINAR: Thursday Internet Marketing - Latest Trends /Case Studies",2014-06-02,3,1,"WEBINAR",3.8,10,"San Francisco","ON YOUR COMPUTER",37.774929,-122.419418,"SF Startup: Idea to IPO","4.54","Career & Business"
"1544","WEBINAR: Thursday Internet Marketing - Latest Trends /Case Studies",2014-06-02,3,1,"WEBINAR",3.8,10,"San Francisco","ON YOUR COMPUTER",37.774929,-122.419418,"SF Startup: Idea to IPO","4.54","Career & Business"
"1545","WEBINAR: Thursday Internet Marketing - Latest Trends /Case Studies",2014-06-02,3,1,"WEBINAR",3.8,10,"San Francisco","ON YOUR COMPUTER",37.774929,-122.419418,"SF Startup: Idea to IPO","4.54","Career & Business"
"1546","WEBINAR: Thursday Internet Marketing - Latest Trends /Case Studies",2014-06-02,3,1,"WEBINAR",3.8,10,"San Francisco","ON YOUR COMPUTER",37.774929,-122.419418,"SF Startup: Idea to IPO","4.54","Career & Business"
"1547","WEBINAR: Thursday Internet Marketing - Latest Trends /Case Studies",2014-06-02,3,1,"WEBINAR",3.8,10,"San Francisco","ON YOUR COMPUTER",37.774929,-122.419418,"SF Startup: Idea to IPO","4.54","Career & Business"
"1548","WEBINAR: Thursday Internet Marketing - Latest Trends /Case Studies",2014-06-02,3,1,"WEBINAR",3.8,10,"San Francisco","ON YOUR COMPUTER",37.774929,-122.419418,"SF Startup: Idea to IPO","4.54","Career & Business"
"1549","WEBINAR: Thursday Internet Marketing - Latest Trends /Case Studies",2014-06-02,3,1,"WEBINAR",3.8,10,"San Francisco","ON YOUR COMPUTER",37.774929,-122.419418,"SF Startup: Idea to IPO","4.54","Career & Business"
"1550","WEBINAR: Thursday Internet Marketing - Latest Trends /Case Studies",2014-06-02,3,1,"WEBINAR",3.8,10,"San Francisco","ON YOUR COMPUTER",37.774929,-122.419418,"SF Startup: Idea to IPO","4.54","Career & Business"
"1551","WEBINAR: Thursday Internet Marketing - Latest Trends /Case Studies",2014-06-02,3,1,"WEBINAR",3.8,10,"San Francisco","ON YOUR COMPUTER",37.774929,-122.419418,"SF Startup: Idea to IPO","4.54","Career & Business"
"1552","WEBINAR: Thursday Internet Marketing - Latest Trends /Case Studies",2014-06-02,3,1,"WEBINAR",3.8,10,"San Francisco","ON YOUR COMPUTER",37.774929,-122.419418,"SF Startup: Idea to IPO","4.54","Career & Business"
"1553","WEBINAR: Thursday Internet Marketing - Latest Trends /Case Studies",2014-06-02,3,1,"WEBINAR",3.8,10,"San Francisco","ON YOUR COMPUTER",37.774929,-122.419418,"SF Startup: Idea to IPO","4.54","Career & Business"
"1554","WEBINAR: Thursday Internet Marketing - Latest Trends /Case Studies",2014-06-02,3,1,"WEBINAR",3.8,10,"San Francisco","ON YOUR COMPUTER",37.774929,-122.419418,"SF Startup: Idea to IPO","4.54","Career & Business"
"1555","WEBINAR: Thursday Internet Marketing - Latest Trends /Case Studies",2014-06-02,3,1,"WEBINAR",3.8,10,"San Francisco","ON YOUR COMPUTER",37.774929,-122.419418,"SF Startup: Idea to IPO","4.54","Career & Business"
"1556","WEBINAR: Thursday Internet Marketing - Latest Trends /Case Studies",2014-06-02,3,1,"WEBINAR",3.8,10,"San Francisco","ON YOUR COMPUTER",37.774929,-122.419418,"SF Startup: Idea to IPO","4.54","Career & Business"
"1557","WEBINAR: Thursday Internet Marketing - Latest Trends /Case Studies",2014-06-02,3,1,"WEBINAR",3.8,10,"San Francisco","ON YOUR COMPUTER",37.774929,-122.419418,"SF Startup: Idea to IPO","4.54","Career & Business"
"1558","WEBINAR: Thursday Internet Marketing - Latest Trends /Case Studies",2014-06-02,3,1,"WEBINAR",3.8,10,"San Francisco","ON YOUR COMPUTER",37.774929,-122.419418,"SF Startup: Idea to IPO","4.54","Career & Business"
"1559","WEBINAR: Thursday Internet Marketing - Latest Trends /Case Studies",2014-06-02,3,1,"WEBINAR",3.8,10,"San Francisco","ON YOUR COMPUTER",37.774929,-122.419418,"SF Startup: Idea to IPO","4.54","Career & Business"
"1560","WEBINAR: Thursday Internet Marketing - Latest Trends /Case Studies",2014-06-02,3,1,"WEBINAR",3.8,10,"San Francisco","ON YOUR COMPUTER",37.774929,-122.419418,"SF Startup: Idea to IPO","4.54","Career & Business"
"1561","WEBINAR: Thursday Internet Marketing - Latest Trends /Case Studies",2014-06-02,3,1,"WEBINAR",3.8,10,"San Francisco","ON YOUR COMPUTER",37.774929,-122.419418,"SF Startup: Idea to IPO","4.54","Career & Business"
